x,x1,x2,sample_code
J169-16S,J169,169,blank
J170-16S,J170,170,e1.0
J171-16S,J171,171,e2.0
J172-16S,J172,172,e3.0
J173-16S,J173,173,e4.0
J174-16S,J174,174,e5.0
J175-16S,J175,175,e1.1
J176-16S,J176,176,e2.1
J177-16S,J177,177,e3.1
J178-16S,J178,178,e4.1
J179-16S,J179,179,e5.1
J180-16S,J180,180,e6.1
J181-16S,J181,181,e7.1
J182-16S,J182,182,e8.1
J183-16S,J183,183,e9.1
J184-16S,J184,184,e10.1
J185-16S,J185,185,e11.1
J186-16S,J186,186,e12.1
J187-16S,J187,187,e13.1
J188-16S,J188,188,e14.1
J189-16S,J189,189,e15.1
J190-16S,J190,190,e16.1
J191-16S,J191,191,e1.2
J192-16S,J192,192,e2.2
J193-16S,J193,193,e3.2
J194-16S,J194,194,e4.2
J195-16S,J195,195,e5.2
J196-16S,J196,196,e6.2
J197-16S,J197,197,e7.2
J198-16S,J198,198,e8.2
J199-16S,J199,199,e9.2
J200-16S,J200,200,e10.2
J201-16S,J201,201,e11.2
J202-16S,J202,202,e12.2
J203-16S,J203,203,e13.2
J204-16S,J204,204,e14.2
J205-16S,J205,205,e15.2
J206-16S,J206,206,e16.2
J207-16S,J207,207,e1.3
J208-16S,J208,208,e2.3
J209-16S,J209,209,e3.3
J210-16S,J210,210,e4.3
J211-16S,J211,211,e5.3
J212-16S,J212,212,e6.3
J213-16S,J213,213,e7.3
J214-16S,J214,214,e8.3
J215-16S,J215,215,e9.3
J216-16S,J216,216,e10.3
J217-16S,J217,217,e11.3
J218-16S,J218,218,e15.3
J219-16S,J219,219,e16.3
J220-16S,J220,220,e1.4
J221-16S,J221,221,e2.4
J222-16S,J222,222,e3.4
J223-16S,J223,223,e4.4
J224-16S,J224,224,e5.4
J225-16S,J225,225,e6.4
J226-16S,J226,226,e7.4
J227-16S,J227,227,e8.4
J228-16S,J228,228,e11.4
J229-16S,J229,229,e1.5
J230-16S,J230,230,e2.5
J231-16S,J231,231,e3.5
J232-16S,J232,232,e1.6
J233-16S,J233,233,e2.6
