Sample,Date,Tank,Temperature,PAR
e1.0,29.06.22,NA,NA,NA
e2.0,29.06.22,NA,NA,NA
e3.0,29.06.22,NA,NA,NA
e4.0,29.06.22,NA,NA,NA
e5.0,29.06.22,NA,NA,NA
e1.1,05.07.22,1,15,8
e2.1,05.07.22,2,15,8
e3.1,05.07.22,3,15,8
e4.1,05.07.22,4,15,8
e5.1,05.07.22,5,15,0
e6.1,05.07.22,6,15,0
e7.1,05.07.22,7,15,0
e8.1,05.07.22,8,15,0
e9.1,05.07.22,9,20,8
e10.1,05.07.22,10,20,8
e11.1,05.07.22,11,20,8
e12.1,05.07.22,12,20,8
e13.1,05.07.22,13,25,8
e14.1,05.07.22,14,25,8
e15.1,05.07.22,15,25,8
e16.1,05.07.22,16,25,8
e1.2,12.07.22,1,15,8
e2.2,12.07.22,2,15,8
e3.2,12.07.22,3,15,8
e4.2,12.07.22,4,15,8
e5.2,12.07.22,5,15,0
e6.2,12.07.22,6,15,0
e7.2,12.07.22,7,15,0
e8.2,12.07.22,8,15,0
e9.2,12.07.22,9,20,8
e10.2,12.07.22,10,20,8
e11.2,12.07.22,11,20,8
e12.2,12.07.22,12,20,8
e13.2,12.07.22,13,25,8
e14.2,12.07.22,14,25,8
e15.2,12.07.22,15,25,8
e16.2,12.07.22,16,25,8
e1.3,26.07.22,1,15,8
e2.3,26.07.22,2,15,8
e3.3,26.07.22,3,15,8
e4.3,26.07.22,4,15,8
e5.3,26.07.22,5,15,0
e6.3,26.07.22,6,15,0
e7.3,26.07.22,7,15,0
e8.3,26.07.22,8,15,0
e9.3,26.07.22,9,20,8
e10.3,26.07.22,10,20,8
e11.3,26.07.22,11,20,8
e12.3,26.07.22,12,20,8
e13.3,26.07.22,13,25,8
e14.3,26.07.22,14,25,8
e15.3,26.07.22,15,25,8
e16.3,26.07.22,16,25,8
e1.4,05.08.22,1,15,8
e2.4,05.08.22,2,15,8
e3.4,05.08.22,3,15,8
e4.4,05.08.22,4,15,8
e5.4,05.08.22,5,15,0
e6.4,05.08.22,6,15,0
e7.4,05.08.22,7,15,0
e8.4,05.08.22,8,15,0
e9.4,05.08.22,9,20,8
e10.4,05.08.22,10,20,8
e11.4,05.08.22,11,20,8
e12.4,05.08.22,12,20,8
e13.4,05.08.22,13,25,8
e14.4,05.08.22,14,25,8
e15.4,05.08.22,15,25,8
e16.4,05.08.22,16,25,8
e1.5,19.09.22,1,15,8
e2.5,19.09.22,2,15,8
e3.5,19.09.22,3,15,8
e4.5,19.09.22,4,15,8
e5.5,19.09.22,5,15,0
e6.5,19.09.22,6,15,0
e7.5,19.09.22,7,15,0
e8.5,19.09.22,8,15,0
e1.6,26.10.22,1,15,8
e2.6,26.10.22,2,15,8
e3.6,26.10.22,3,15,8
e4.6,26.10.22,4,15,8
e5.6,26.10.22,5,15,0
e6.6,26.10.22,6,15,0
e7.6,26.10.22,7,15,0
e8.6,26.10.22,8,15,0
