Date,Tank,Temperature,PAR,Wet,Dry,d15N,d13C,N,C,C_N
29.06.22,NA,NA,NA,9.83,1.6,3.74,-20.3,0.7,26.3,36.1
29.06.22,NA,NA,NA,10.27,1.63,4.43,-20.53,0.8,27.3,33.7
29.06.22,NA,NA,NA,10.15,1.6,3.86,-21.54,0.6,27.8,46.3
29.06.22,NA,NA,NA,10.49,1.66,3.51,-21.12,0.7,26.6,40.5
29.06.22,NA,NA,NA,9.67,1.41,4.54,-21.55,0.7,25,37.9
29.06.22,NA,NA,NA,NA,1.6,4.52,-20.08,0.6,28.4,45.5
29.06.22,NA,NA,NA,NA,1.77,3.52,-21.54,0.6,27.3,48.7
29.06.22,NA,NA,NA,NA,1.64,4.65,-20.51,0.8,28.6,37.1
29.06.22,NA,NA,NA,NA,1.92,4.15,-20.46,0.6,28.7,48.6
29.06.22,NA,NA,NA,NA,1.18,4.66,-22.69,0.8,26.3,31.6
05.07.22,1,15,8,9.48,1.6,4.85,-21.34,0.9,30,31.9
05.07.22,2,15,8,9.4,1.58,4.57,-22.25,0.8,29.6,38.7
05.07.22,3,15,8,10.11,1.34,4.08,-24.68,1,29.1,27.8
05.07.22,4,15,8,9.22,1.25,4.53,-22.95,0.9,28.6,30.5
05.07.22,5,15,0,9.45,0.93,5.38,-22.07,1.2,28.6,24.2
05.07.22,6,15,0,9.78,1.15,4.8,-21.18,1,29.2,28.7
05.07.22,7,15,0,9.27,1.17,4.28,-21.39,0.8,26.4,32.2
05.07.22,8,15,0,8.88,1.09,4.88,-23.58,1,26,25.2
05.07.22,9,20,8,9.6,1.47,4.47,-19.76,0.7,27.9,40
05.07.22,10,20,8,8.96,1.26,4.02,-19.37,0.4,29.5,75.1
05.07.22,11,20,8,9.13,1.57,5.11,-22.16,1.1,26.8,25
05.07.22,12,20,8,9.24,1.73,3.8,-21.48,0.6,28.3,47.7
05.07.22,13,25,8,9.3,0.97,5.39,-22.12,0.9,23.4,24.8
05.07.22,14,25,8,8.78,0.85,5.9,-21.33,1.3,27.3,21.5
05.07.22,15,25,8,9.24,0.87,5.42,-21.34,1.2,26.8,23.3
05.07.22,16,25,8,9.46,0.85,5.01,-20.97,1.2,25.1,21.1
12.07.22,1,15,8,9.57,1.36,4.77,-23.54,0.8,27.1,33.2
12.07.22,2,15,8,9.21,1.12,5.26,-23.31,0.9,25.3,27.5
12.07.22,3,15,8,9.09,1.5,5.13,-22.84,0.7,27.6,42.1
12.07.22,4,15,8,9.93,1.45,4.8,-21.5,1.1,22.9,20.8
12.07.22,5,15,0,9.54,1.39,5.24,-19.73,0.6,21.9,38.5
12.07.22,6,15,0,8.55,1.21,4.89,-20.36,1,27.8,28.4
12.07.22,7,15,0,9.46,1.8,4.35,-20.04,0.4,27.9,62.7
12.07.22,8,15,0,8.64,1.14,5.24,-22.25,0.9,22.6,24
12.07.22,9,20,8,10.11,0.62,5.25,-22.32,0.7,18.4,26.1
12.07.22,10,20,8,7.89,0.66,5.45,-22.02,0.9,20.2,23.3
12.07.22,11,20,8,8.08,0.82,5.5,-22.59,0.8,17.4,20.7
12.07.22,12,20,8,9.64,1.68,4.13,-19.65,0.7,29.1,43.1
12.07.22,13,25,8,8.45,0.43,5.36,-20.55,1.3,16.4,12.6
12.07.22,14,25,8,2.38,0.04,5.47,-21.42,0.8,14.3,18
12.07.22,15,25,8,4.16,0.13,5.65,-21.45,1.1,16.5,15.3
12.07.22,16,25,8,4.83,0.12,5.42,-19.5,1.3,21.7,17.1
16.07.22,9,20,8,1.75,0.33,6.36,-21.29,1.8,26.3,14.6
16.07.22,10,20,8,1.78,0.49,5.25,-21.02,1.6,22.9,14.5
16.07.22,11,20,8,3.46,1.04,4.7,-22.5,1.1,26.4,24.6
16.07.22,12,20,8,9.97,0.94,5.15,-20.59,1.1,30.1,28.5
16.07.22,13,25,8,NA,0.46,4.72,-19.61,0.8,26.9,33.1
16.07.22,14,25,8,5.01,0.26,4.83,-21.93,1.1,28.1,24.7
16.07.22,15,25,8,NA,0.3,4.54,-18.89,0.7,27.7,38.3
16.07.22,16,25,8,7.95,1.29,4.89,-23.89,0.9,24.1,27.9
19.07.22,9,20,8,1.63,0.24,4.58,-20.95,1.5,29.2,19.6
19.07.22,10,20,8,2.6,0.31,5.28,-22.27,1.1,24.4,21.6
19.07.22,11,20,8,6.96,1.09,4.71,-20.89,1,26.5,27.1
19.07.22,12,20,8,6.49,0.96,4.94,-23.01,0.9,26.8,31
19.07.22,13,25,8,4.95,0.68,5.37,-19.94,1.3,26.3,21
19.07.22,14,25,8,4.16,0.74,4.11,-20.48,0.9,25.2,27.3
19.07.22,15,25,8,8.8,1.46,4.75,-20.81,0.8,26.7,34.4
19.07.22,16,25,8,10.51,1.87,4.4,-21.3,0.8,22,27.4
26.07.22,1,15,8,8.47,1.15,5.89,-22.73,1,26.6,26
26.07.22,2,15,8,8.06,0.94,6.09,-23.63,1,21.5,22.2
26.07.22,3,15,8,5.46,0.63,5.17,-20.04,1.2,24.1,19.8
26.07.22,4,15,8,5.48,0.55,5.64,-24.02,2,23.3,11.6
26.07.22,5,15,0,8.66,1.32,5.67,-21.87,0.7,23.6,32.6
26.07.22,6,15,0,5.06,0.52,5.26,-23.32,1.4,18.8,13.8
26.07.22,7,15,0,5.5,0.61,5.48,-22.26,0.8,20.5,24.6
26.07.22,8,15,0,0.44,0.34,6.55,-20.21,2,25.2,12.3
26.07.22,9,20,8,2.47,0.42,5.42,-23.48,0.9,19.6,21.1
26.07.22,10,20,8,NA,0.54,5.07,-20.07,1.7,25.8,15.4
26.07.22,11,20,8,6.98,1.39,5.4,-22.57,0.8,26.7,32.7
26.07.22,12,20,8,0,0,NA,NA,NA,NA,NA
