Reference,DOI,Host,Genus,Species,Medium,Source
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Loktanella,agnita,"alginate, fucoidan, mannitol","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Tateyamaria,omphalii/pelophila,"alginate, fucoidan, laminarin, mannitol ","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Roseobacter,NA,"alginate, fucoidan, laminarin, mannitol ","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Phaeobacter,arcticus,"alginate, fucoidan, mannitol","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Jannaschia,donghaensis,"fucoidan, mannitol","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,NA,NA,"alginate, fucoidan, mannitol","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Labrenzia,alba,"laminarin, mannitol","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Blastochloris,viridis,mannitol,"Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Erythrobacter,longus,"alginate, fucoidan","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Altererythrobacter,indicus,"alginate, laminarin, mannitol","Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Croceicoccus,marinus,alginate,"Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,NA,NA,alginate,"Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Granulosicoccus,antarcticus,mannitol,"Table 1, Figure 3"
Bengtsson et al. 2011,10.3354/ame01477,Laminaria hyperborea,Bacillus,NA,fucoidan,"Table 1, Figure 3"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Curtobacterium,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Arthrobacter,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudomonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Agrococcus,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Cobetia,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Paracoccus,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Algibacter,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Cellulophaga,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Algibacter,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Curtobacterium,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Kocuria,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Paracoccus,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Rhodococcus,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Vibrio,vulnificus,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Algibacter,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Paracoccus,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Bacillus,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,NA,"ZoBell agar, mannitol","Table 1, Text"
Salaün et al. 2012,10.1007/s00248-012-0048-4,Laminaria digitata,Pseudoalteromonas,carrageenovora,"ZoBell agar, mannitol","Table 1, Text"
