File,Reads,ASVs,Number,Sample,Date,Days,Treatment,Tank,Temperature,PAR,Slope,ASVs_check,Identical,ASVs_conv
e1.0_F_filt.fastq.gz,7927,249.65657068041241,170,e1.0,2022-06-29,0,Light 15°C,3,15,8,0.007660897256272392,249.65657068041241,TRUE,243.55292036811142
e1.1_F_filt.fastq.gz,13890,502.1121150758169,175,e1.1,2022-07-05,6,Light 15°C,1,15,8,0.007660675718227594,502.1121150758169,TRUE,425.6528357906314
e1.2_F_filt.fastq.gz,14939,577.8210664162046,191,e1.2,2022-07-12,13,Light 15°C,1,15,8,0.007660115713520099,577.8210664162046,TRUE,478.1249800852216
e1.3_F_filt.fastq.gz,10148,314.78458823511556,207,e1.3,2022-07-26,27,Light 15°C,1,15,8,0.0076606915178558666,314.78458823511556,TRUE,286.6353265840661
e1.4_F_filt.fastq.gz,2780,80.14080313902639,220,e1.4,2022-08-05,37,Light 15°C,1,15,8,0.007662456837365994,80.14080313902639,TRUE,94
e1.5_F_filt.fastq.gz,6512,312.1850505905301,229,e1.5,2022-09-19,82,Light 15°C,1,15,8,0.00766029955485692,312.1850505905301,TRUE,316.8805706321727
e1.6_F_filt.fastq.gz,6145,204.9842613787418,232,e1.6,2022-10-26,119,Light 15°C,1,15,8,0.007660499329205095,204.9842613787418,TRUE,211.9739412943951
e10.1_F_filt.fastq.gz,9584,360.88547203121726,184,e10.1,2022-07-05,6,Light 20°C,10,20,8,0.007660390694070429,360.88547203121726,TRUE,338.6370643296215
e10.2_F_filt.fastq.gz,16017,475.30839895514237,200,e10.2,2022-07-12,13,Light 20°C,10,20,8,0.007660353003245746,475.30839895514237,TRUE,372.52550960214927
e10.3_F_filt.fastq.gz,10958,343.7436231446176,216,e10.3,2022-07-26,27,Light 20°C,10,20,8,0.007660475724605931,343.7436231446176,TRUE,306.6776566130704
e11.1_F_filt.fastq.gz,10764,260.389253811817,185,e11.1,2022-07-05,6,Light 20°C,11,20,8,0.007660618341958525,260.389253811817,TRUE,226.76234401151854
e11.2_F_filt.fastq.gz,16684,467.7315450035587,201,e11.2,2022-07-12,13,Light 20°C,11,20,8,0.007660060293744664,467.7315450035587,TRUE,359.2862850117534
e11.3_F_filt.fastq.gz,8252,304.40100396841007,217,e11.3,2022-07-26,27,Light 20°C,11,20,8,0.007660133194917762,304.40100396841007,TRUE,295.30246516559873
e11.4_F_filt.fastq.gz,6954,218.84862858033435,228,e11.4,2022-08-05,37,Light 20°C,11,20,8,0.007660786369626749,218.84862858033435,TRUE,220.5248231354594
e12.1_F_filt.fastq.gz,9608,376.6192357870036,186,e12.1,2022-07-05,6,Light 20°C,12,20,8,0.007661054226957731,376.6192357870036,TRUE,353.6200980470294
e12.2_F_filt.fastq.gz,16973,646.2997615389228,202,e12.2,2022-07-12,13,Light 20°C,12,20,8,0.007660041568783527,646.2997615389228,TRUE,516.3847900805232
e13.1_F_filt.fastq.gz,14454,446.89522570025036,187,e13.1,2022-07-05,6,Light 25°C,13,25,8,0.007660025915924962,446.89522570025036,TRUE,364.17229463112324
e13.2_F_filt.fastq.gz,13721,561.2073807823016,203,e13.2,2022-07-12,13,Light 25°C,13,25,8,0.00766014102475765,561.2073807823016,TRUE,483.0546780940129
e14.1_F_filt.fastq.gz,13577,548,188,e14.1,2022-07-05,6,Light 25°C,14,25,8,0.007660013258828258,548,TRUE,474.76830069990416
e14.2_F_filt.fastq.gz,19812,883.1417865957029,204,e14.2,2022-07-12,13,Light 25°C,14,25,8,0.007660222932486249,883.1417865957029,TRUE,681.2524798999654
e15.1_F_filt.fastq.gz,16122,608.2286642973543,189,e15.1,2022-07-05,6,Light 25°C,15,25,8,0.007660682198661561,608.2286642973543,TRUE,493.32952864362653
e15.2_F_filt.fastq.gz,15855,485.4657249754497,205,e15.2,2022-07-12,13,Light 25°C,15,25,8,0.007660026330768233,485.4657249754497,TRUE,386.10537226034234
e15.3_F_filt.fastq.gz,6814,213.75714822736842,218,e15.3,2022-07-26,27,Light 25°C,15,25,8,0.007660847956060479,213.75714822736842,TRUE,216.44066229272806
e16.1_F_filt.fastq.gz,13495,509.9727973636339,190,e16.1,2022-07-05,6,Light 25°C,16,25,8,0.007660078158494343,509.9727973636339,TRUE,438.97022795418115
e16.2_F_filt.fastq.gz,17299,486.71326230461904,206,e16.2,2022-07-12,13,Light 25°C,16,25,8,0.007660142270992765,486.71326230461904,TRUE,366.7520329739926
e16.3_F_filt.fastq.gz,6645,207.1615777479161,219,e16.3,2022-07-26,27,Light 25°C,16,25,8,0.007660696913092124,207.1615777479161,TRUE,211.0049075181174
e2.0_F_filt.fastq.gz,8834,288.92373907674187,171,e2.0,2022-06-29,0,Light 20°C,10,20,8,0.007661356479900405,288.92373907674187,TRUE,274.1434618053655
e2.1_F_filt.fastq.gz,10908,425.3976452073284,176,e2.1,2022-07-05,6,Light 15°C,2,15,8,0.00766080822091908,425.3976452073284,TRUE,387.32479860049017
e2.2_F_filt.fastq.gz,12333,313.64905565355355,192,e2.2,2022-07-12,13,Light 15°C,2,15,8,0.00766059899387983,313.64905565355355,TRUE,261.57520462719185
e2.3_F_filt.fastq.gz,11681,337.71842115073423,208,e2.3,2022-07-26,27,Light 15°C,2,15,8,0.007660100425425753,337.71842115073423,TRUE,293.60046548152707
e2.4_F_filt.fastq.gz,6340,229.98408503243238,221,e2.4,2022-08-05,37,Light 15°C,2,15,8,0.007660107103845348,229.98408503243238,TRUE,235.8401964717575
e2.5_F_filt.fastq.gz,7137,312.90837350183097,230,e2.5,2022-09-19,82,Light 15°C,2,15,8,0.007661270537539622,312.90837350183097,TRUE,313.22070235627604
e2.6_F_filt.fastq.gz,7586,219.34810008487784,233,e2.6,2022-10-26,119,Light 15°C,2,15,8,0.007661004896334589,219.34810008487784,TRUE,216.1234703907478
e3.0_F_filt.fastq.gz,9476,265.06486099436006,172,e3.0,2022-06-29,0,Light 25°C,15,25,8,0.007660070515782991,265.06486099436006,TRUE,244.3694936163467
e3.1_F_filt.fastq.gz,17560,796.8912027523187,177,e3.1,2022-07-05,6,Light 15°C,3,15,8,0.007660051823563663,796.8912027523187,TRUE,647.9616168798844
e3.2_F_filt.fastq.gz,13042,498.1919127774309,193,e3.2,2022-07-12,13,Light 15°C,3,15,8,0.007660638494030536,498.1919127774309,TRUE,428.5858281906967
e3.3_F_filt.fastq.gz,15916,525.2907808734814,209,e3.3,2022-07-26,27,Light 15°C,3,15,8,0.0076605365424029515,525.2907808734814,TRUE,422.87946681769404
e3.4_F_filt.fastq.gz,10123,238.9972808605189,222,e3.4,2022-08-05,37,Light 15°C,3,15,8,0.007660042668163669,238.9972808605189,TRUE,212.4774948421094
e3.5_F_filt.fastq.gz,7930,323.9502075824696,231,e3.5,2022-09-19,82,Light 15°C,3,15,8,0.007660576459841195,323.9502075824696,TRUE,317.6730247996268
e4.0_F_filt.fastq.gz,11954,550.1601208707827,173,e4.0,2022-06-29,0,Dark 15°C,5,15,0,0.007660416298222117,550.1601208707827,TRUE,496.7000544055188
e4.1_F_filt.fastq.gz,14015,406.6502358120288,178,e4.1,2022-07-05,6,Light 15°C,4,15,8,0.007660244333635546,406.6502358120288,TRUE,332.3802410605346
e4.2_F_filt.fastq.gz,14913,503.0657628892805,194,e4.2,2022-07-12,13,Light 15°C,4,15,8,0.007660396715721163,503.0657628892805,TRUE,408.16914052325586
e4.3_F_filt.fastq.gz,20083,562.9263244030087,210,e4.3,2022-07-26,27,Light 15°C,4,15,8,0.0076603162757464816,562.9263244030087,TRUE,399.61743482340967
e4.4_F_filt.fastq.gz,8077,252.20290531662164,223,e4.4,2022-08-05,37,Light 15°C,4,15,8,0.007660751647051711,252.20290531662164,TRUE,244.74200998796897
e5.0_F_filt.fastq.gz,8148,194.84280319373386,174,e5.0,2022-06-29,0,Light 15°C,4,15,8,0.007660644030465846,194.84280319373386,TRUE,186.98085105605173
e5.1_F_filt.fastq.gz,10341,483.4258218185183,179,e5.1,2022-07-05,6,Dark 15°C,5,15,0,0.007660591594969901,483.4258218185183,TRUE,451.04974713936906
e5.2_F_filt.fastq.gz,10555,387.6822151860847,195,e5.2,2022-07-12,13,Dark 15°C,5,15,0,0.007660644262330152,387.6822151860847,TRUE,353.90205020461434
e5.3_F_filt.fastq.gz,15345,399.60350446673675,211,e5.3,2022-07-26,27,Dark 15°C,5,15,0,0.007660367029586723,399.60350446673675,TRUE,308.10206997878504
e5.4_F_filt.fastq.gz,12392,575.0904826555543,224,e5.4,2022-08-05,37,Dark 15°C,5,15,0,0.0076604754922300344,575.0904826555543,TRUE,513.7015144610075
e6.1_F_filt.fastq.gz,10053,417.5673608362621,180,e6.1,2022-07-05,6,Dark 15°C,6,15,0,0.007660342992096503,417.5673608362621,TRUE,388.501697911544
e6.2_F_filt.fastq.gz,18124,667.661017194019,196,e6.2,2022-07-12,13,Dark 15°C,6,15,0,0.007660604782813607,667.661017194019,TRUE,522.5413674926873
