Genus,Examples,Species,Studies
Vibrio,"natriegens, atlanticus, hyugaensis, rotiferianus",28,15
Bacillus,"megaterium, licheniformis, zhangzhouensis, infantis",25,13
Pseudoalteromonas,"agarivorans, distincta, prydzensis, aliena",21,11
Alteromonas,"macleodii, carrageenovora, stellipolaris, addita",9,11
Pseudomonas,"fluorescens, aeruginosa, grimontii, alginovora",10,9
Zobellia,"russellii, galactanivorans, uliginosa",3,8
Shewanella,"gaetbuli, algidipiscicola, pacifica, japonica",7,6
Cellulophaga,"omnivescoria, lytica, fucicola, geojensis",6,6
Flavobacterium,"algicola, faecale",2,6
Halomonas,"marina, venusta, denitrificans",3,5
Microbulbifer,"mangrovi, elongatus, celer",3,5
Maribacter,"forsetii, stanieri",2,5
Sphingomonas,"paucimobilis, leidyi",2,4
Psychrobacter,"maritimus, nivimaris, cryohalolentis, alimentarius",8,3
Cytophaga,"diffluens, uliginosa",2,3
Photobacterium,swingsii,1,3
Cobetia,litoralis,1,3
Streptomyces,,0,3
Colwellia,,0,3
Erythrobacter,longus,1,2
Brevibacterium,celere,1,2
Gracilibacillus,halotolerans,1,2
Fucobacter,marina,1,2
Marinomonas,ushuaiensis,1,2
Algibacter,lectus,1,2
Marinobacter,hydrocarbonoclasticus,1,2
Tamlana,agarivorans,1,2
Agarivorans,albus,1,2
Enterobacter,tabaci,1,2
Alcaligenes,,0,2
Glaciecola,,0,2
Psychromonas,,0,2
Polaribacter,,0,2
Halobacillus,"dabanensis, trueperi, kuroshimensis, halophilus",6,1
Paenibacillus,"jamilae, lautus, odorifer, taichungensis",4,1
Fictibacillus,"nanhaiensis, phosphorivorans",2,1
Lutibacter,"litoralis, crassostreae",2,1
Algoriphagus,"winogradskyi, chordae",2,1
Enterovibrio,"norvegicus, calviensis",2,1
Paracoccus,"homiensis, fistulariae",2,1
Pontiella,"desulfatans, sulfatireligans",2,1
Loktanella,agnita,1,1
Tateyamaria,omphalii/pelophila,1,1
Phaeobacter,arcticus,1,1
Jannaschia,donghaensis,1,1
Labrenzia,alba,1,1
Altererythrobacter,indicus,1,1
Croceicoccus,marinus,1,1
Alginovibrio,aquatilis,1,1
Deleya,marina,1,1
Fucophilus,fucoidanolyticus,1,1
Mesonia,algae,1,1
Lentimonas,marisflavi,1,1
Marineflexile,fucanivorans,1,1
Limimaricola,soesokkakensis,1,1
Marinovum,algicola,1,1
Pseudophaeobacter,arcticus,1,1
Celeribacter,halophilus,1,1
Thalassobacillus,devorans,1,1
Lacinutrix,gracilariae,1,1
Winogradskyella,sediminis,1,1
Alcanivorax,venustensis,1,1
Leclercia,adecarboxylata,1,1
Planomicrobium,okeanokoites,1,1
Isoptericola,halotolerans,1,1
Lysinibacillus,macroides,1,1
Microbacterium,oxydans,1,1
Pseudooceanicola,algae,1,1
Hydrogenophaga,taeniospralis,1,1
Aquimarina,latercula,1,1
Huaishuia,halophila,1,1
Pseudozobellia,thermophila,1,1
Aliivibrio,fischeri,1,1
Clostridium,butyricum,1,1
Saccharophagus,degradans,1,1
Sinomicrobium,oceani,1,1
Rhodopirellula,gimesia,1,1
Neorhodopirellula,lusitana,1,1
Roseobacter,,0,1
Alginomonas,,0,1
Moraxella,,0,1
Ochrobactrum,,0,1
Arenibacter,,0,1
Gramella,,0,1
Micrococcus,,0,1
Psychrobium,,0,1
Wenyingzhuangia,,0,1
Tenacibaculum,,0,1
Leucothrix,,0,1
Psychrosphaera,,0,1
Formosa,,0,1
Idiomarina,,0,1
Litoreibacter,,0,1
Paraglaciecola,,0,1
Rheinheimera,,0,1
Rhodococcus,,0,1
Sulfitobacter,,0,1
Salegentibacter,,0,1
Prevotella,,0,1
Staphylococcus,,0,1
Simiduia,,0,1
