Variable,Baseline,Dark 15°C,Light 15°C,Light 20°C,Light 25°C
n,5 ± 0,16 ± 0,21 ± 0,12 ± 0,10 ± 0
Reads_sum,24 ± 3.6,25 ± 5.9,26 ± 10,23 ± 8,25 ± 8.1
R_rare,310 ± 139,463 ± 166,378 ± 165,368 ± 125,495 ± 193
D,28 ± 25,26 ± 14,21 ± 18,18 ± 12,23 ± 11
E_rare,8 ± 4,5.9 ± 2.6,5.5 ± 3.3,4.4 ± 2.2,4.5 ± 1.5
G,93 ± 7.9,94 ± 7.3,91 ± 7.3,91 ± 6.6,94 ± 4
Saprotrophs,72 ± 22,42 ± 19,28 ± 15,32 ± 21,31 ± 15
Alphaproteobacteria,22 ± 13,33 ± 13,46 ± 19,56 ± 22,48 ± 27
Gammaproteobacteria,69 ± 20,52 ± 15,41 ± 18,36 ± 21,36 ± 24
Bacteroidia,6 ± 7.4,9.6 ± 11,8.2 ± 9.8,4 ± 2.5,10 ± 12
Verrucomicrobiia,1.2 ± 2.6,1.2 ± 1.5,1.2 ± 1.4,1 ± 2,1.4 ± 1.3
Other,2.2 ± 2,3.8 ± 2.6,3.8 ± 3.3,2.8 ± 1.4,4.2 ± 2.4
