parameter,contrast,P,n,diff,ratio
alpha,D15vL15,0.92,80000,-2.3 ± 1.8 (-2.4),2.3 ± 630 (1.9)
alpha,L20vL15,0.93,80000,-3.4 ± 2.3 (-3.5),0.98 ± 1100 (2.6)
alpha,L25vL15,0.99,80000,-6.3 ± 2.1 (-6.3),3.6 ± 2200 (4.7)
tau,D15vL15,0.78,80000,1.2 ± 1.7 (1.3),1.3 ± 0.43 (1.3)
tau,L20vL15,0.94,80000,3.1 ± 2 (3.2),1.8 ± 0.64 (1.7)
tau,L25vL15,0.98,80000,5.1 ± 2.3 (5.3),2.2 ± 0.79 (2.1)
k,D15vL15,0.88,80000,2 ± 3.1 (1.7),3.4 ± 4.7 (2.5)
k,L20vL15,0.94,80000,3.5 ± 3.8 (3),4.9 ± 7.2 (3.6)
k,L25vL15,0.96,80000,4.8 ± 4.7 (4.1),6.2 ± 9.3 (4.6)
t0.5_tau,D15vL15,0.78,80000,-3.5 ± 4.8 (-3.1),0.83 ± 0.27 (0.78)
t0.5_tau,L20vL15,0.94,80000,-6.7 ± 5.1 (-6.1),0.63 ± 0.22 (0.59)
t0.5_tau,L25vL15,0.98,80000,-8.5 ± 5.1 (-7.9),0.5 ± 0.18 (0.47)
t0.5_k,D15vL15,0.88,80000,-40 ± 51 (-34),0.6 ± 1.4 (0.4)
t0.5_k,L20vL15,0.94,80000,-49 ± 50 (-41),0.42 ± 0.83 (0.28)
t0.5_k,L25vL15,0.96,80000,-52 ± 49 (-45),0.35 ± 0.81 (0.22)
